index,age_range,bmi_grade,gender,ability,sports_step,recommend_rank,ex_recommend,video_url,space
227,1,0,0,3,1,3,조깅,https://www.youtube.com/watch?v=RpSDn8NCm04,1
228,1,0,0,3,1,4,자전거타기,https://www.youtube.com/watch?v=o9w8lVE5lWs,1
229,1,0,0,3,1,5,버피 테스트,https://www.youtube.com/watch?v=pTtqoa8qCKw,0
230,1,0,0,3,0,1,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
231,1,0,0,3,0,2,목 돌리기,https://www.youtube.com/watch?v=-UCNGXY5n-k,0
232,1,0,0,3,0,3,양발 벌려 무릎 밀어내기,https://www.youtube.com/watch?v=UdZGUv4wlXY,0
233,1,0,0,3,0,4,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
234,1,0,0,3,0,5,다리모아 무릎 누르기,https://www.youtube.com/watch?v=ETIxjvO9jIA,0
235,1,0,0,3,2,1,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
236,1,0,0,3,2,2,온 몸 뻗어주기,https://www.youtube.com/watch?v=baeEwhAaAcw,0
237,1,0,0,3,2,3,복식 호흡,https://www.youtube.com/watch?v=mZTd06yXVT0,0
238,1,0,0,3,2,4,짝 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=nzn5cX71hUM,0
239,1,0,0,3,2,5,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
240,1,2,1,0,1,1,줄넘기,https://www.youtube.com/watch?v=7SPFH6HcK-g,1
241,1,2,1,0,1,2,조깅,https://www.youtube.com/watch?v=RpSDn8NCm04,1
242,1,2,1,0,1,3,버피 테스트,https://www.youtube.com/watch?v=pTtqoa8qCKw,0
243,1,2,1,0,1,4,맨몸운동 루틴프로그램,https://www.youtube.com/watch?v=8rYcSq4lF20,0
244,1,2,1,0,1,5,자전거타기,https://www.youtube.com/watch?v=o9w8lVE5lWs,1
245,1,2,1,0,0,1,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
246,1,2,1,0,0,2,몸통 비틀기,https://www.youtube.com/watch?v=rsRM5ivIHCw,0
247,1,2,1,0,0,3,목 돌리기,https://www.youtube.com/watch?v=-UCNGXY5n-k,0
248,1,2,1,0,0,4,시소우,https://www.youtube.com/watch?v=bGoseV7XdYg,0
249,1,2,1,0,0,5,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
250,1,2,1,0,2,1,복식 호흡,https://www.youtube.com/watch?v=mZTd06yXVT0,0
251,1,2,1,0,2,2,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
252,1,2,1,0,2,3,짝 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=nzn5cX71hUM,0
253,1,2,1,0,2,4,모관운동,https://www.youtube.com/watch?v=HaMZOnbpNpg,0
254,1,2,1,0,2,5,온 몸 뻗어주기,https://www.youtube.com/watch?v=baeEwhAaAcw,0
